Compound Name,Molecular Formula,SMILES,P（蛋白质）,对接分数,PDB id,选取链条,Select parameters
Licuraside,C26H30O13,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C=C3)C(=O)/C=C/C4=CC=C(C=C4)O)O)CO)O)O)O)(CO)O,CXCL8,-7.7046,6LFM ,R-C-X-C chemokine receptor type 2,5
Ononin,C22H22O9,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CXCL8,-7.6229,6LFM ,R-C-X-C chemokine receptor type 2,5
Lonchocarpenin,C27H28O6,CC(=CCC1=C2C(=C(C3=C1OC(C=C3)(C)C)OC)C(=C(C(=O)O2)C4=CC=C(C=C4)OC)O)C,CXCL8,-7.2678,6LFM ,R-C-X-C chemokine receptor type 2,5
Kingianoside C,C45H72O20,C[C@H]1C2C(CC3[C@@]2(C(=O)CC4C3CC=C5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)C)C)OC1(CC[C@@H](C)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,CXCL8,-6.2336,6LFM ,R-C-X-C chemokine receptor type 2,5
Isorhamnetin 3-glucoside,C22H22O12,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,CXCL8,-7.5106,6LFM ,R-C-X-C chemokine receptor type 2,5
"7,2',3'-trihydroxy-4'-methoxyisoflavan",C16H16O5,,,,,,
Formononetin,C16H12O4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,CXCL8,10.2827,6LFM ,R-C-X-C chemokine receptor type 2,5
Licochalcone B,C16H14O5,COC1=C(C=CC(=C1O)O)/C=C/C(=O)C2=CC=C(C=C2)O,CXCL8,-6.9952,6LFM ,R-C-X-C chemokine receptor type 2,5
N-Methyltyramine,C9H13NO,CNCCC1=CC=C(C=C1)O,CXCL8,-5.847,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragalus membranaceus stem saponin D,C38H62O11,,,,,,
protocatechuic acid,C7H6O4,C1=CC(=C(C=C1C(=O)O)O)O,CXCL8,-5.9505,6LFM ,R-C-X-C chemokine receptor type 2,5
Lablaboside A,C54H86O23,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,CXCL8,-7.0124,6LFM ,R-C-X-C chemokine receptor type 2,5
Polycanthine,C15H19NO3,,,,,,
Kingianoside A,C39H60O14,C[C@@H]1CC[C@@]2([C@H](C3C(O2)CC4[C@@]3(C(=O)CC5C4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)C)C)C)OC1,CXCL8,-7.4378,6LFM ,R-C-X-C chemokine receptor type 2,5
Glycyrrhetol,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,CXCL8,-6.6597,6LFM ,R-C-X-C chemokine receptor type 2,5
Glycyrrhetol,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,,,,,
Agroastragaloside Ⅰ,C47H76O17,,,,,,
Agroastragaloside Ⅰ,C47H76O17,,,,,,
Citronellyl formate,C11H20O2,CC(CCC=C(C)C)CCOC=O,CXCL8,-6.0094,6LFM ,R-C-X-C chemokine receptor type 2,5
Licoflavone A,C20H18O4,CC(=CCC1=CC2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)C,CXCL8,-6.4136,6LFM ,R-C-X-C chemokine receptor type 2,5
Tangshenoside I,C29H42O18,C[C@](CC(=O)O)(CC(=O)OC/C=C/C1=CC(=C(C(=C1)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CXCL8,-7.7211,6LFM ,R-C-X-C chemokine receptor type 2,5
Acetyl astragaloside I,C47H74O17,,,,,,
Acetyl astragaloside I,C47H74O17,,,,,,
Soyasaponin βg,C47H74O17,,,,,,
Soyasaponin βg,C47H74O17,,,,,,
