Compound Name,Molecular Formula,SMILES,P,对接分数（8WE3),2Q9S(2007年）,2QM9（2007年）A链,2QM9（2007年）B链
Citronellyl formate,C11H20O2,CC(CCC=C(C)C)CCOC=O,FABP4,-6.196,-6.1595,×,-5.6102
Licoflavone A,C20H18O4,CC(=CCC1=CC2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)C,FABP4,-6.3909,-6.543,×,-4.7492
Tangshenoside I,C29H42O18,C[C@](CC(=O)O)(CC(=O)OC/C=C/C1=CC(=C(C(=C1)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,FABP4,×,×,×,9.638
Acetyl astragaloside I,C47H74O17,,,,,,
Acetyl astragaloside I,C47H74O17,,,,,,
Soyasaponin βg,C47H74O17,,,,,,
Soyasaponin βg,C47H74O17,,,,,,
Tumulosic acid,C31H50O4,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O,FABP4,×,×,×,7.7708
Liensinine,C37H42N2O6,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,FABP4,×,×,×,6.5876
Genistein,C15H12O5,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,FABP4,-6.6199,-6.2084,×,-4.2313
Dehydrotumulosic acid,C31H48O4,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O,FABP4,-6.4257,×,×,13.753
Phenylacetic acid,C8H8O2,C1=CC=C(C=C1)CC(=O)O,FABP4,-6.116,-6.1316,×,-6.0521
